0;0;7500;true;2185,48;104115;50030;13423;29726;
1;10;5000;true;2138,21;107681;50512;13536;31046;
2;50;5000;true;2155,16;135731;63539;15813;38592;
3;100;2000;true;2060,00;171920;80244;23459;42849;
4;500;2000;true;1553,97;358884;218893;39760;53728;
5;1000;1500;true;877,45;635438;420497;66432;72361;
6;5000;1500;true;197,76;4379971;3458025;232174;288723;
7;10000;500;true;74,93;12542271;9966304;659298;867353;
8;0;7500;false;2540,99;12743;2565;990;654;
9;10;5000;false;2411,43;17901;4440;858;1341;
10;50;5000;false;2392,83;31142;14172;1212;3237;
11;100;2000;false;2357,46;56913;29820;2101;6174;
12;500;2000;false;1497,26;377444;268476;25225;37454;
13;1000;1500;false;799,08;790529;625735;22651;69215;
14;5000;1500;false;93,17;10098689;9060811;178218;474978;
15;10000;500;false;30,12;32619614;29294199;690043;1654120;
