0;0;7500;true;1166,28;150858;82324;21610;35761;
1;10;5000;true;1169,06;144239;83559;18188;32331;
2;50;5000;true;1118,61;175346;100970;20602;39367;
3;100;2000;true;1122,68;228867;131303;23600;49415;
4;500;2000;true;1032,36;555930;271520;39919;78290;
5;1000;1500;true;921,15;725087;428468;48893;95197;
6;5000;1500;true;305,69;2927598;2162710;188154;239288;
7;10000;500;true;137,46;6911219;5365468;424977;389032;
8;0;7500;false;1175,12;3707;1294;526;304;
9;10;5000;false;1156,68;6650;2842;432;972;
10;50;5000;false;1167,74;16818;8916;847;2844;
11;100;2000;false;1151,24;36935;22082;1536;6044;
12;500;2000;false;1100,99;569703;204320;19971;39943;
13;1000;1500;false;989,16;737284;505846;19433;79826;
14;5000;1500;false;180,79;5195830;4528614;88342;263032;
15;10000;500;false;66,49;14650466;13159451;266097;634442;
