0;0;7500;true;611,72;195972;98880;28066;57649;
1;10;5000;true;623,52;208107;103423;27885;64394;
2;50;5000;true;645,20;244269;135519;31420;60819;
3;100;2000;true;654,85;276919;159197;39108;61069;
4;500;2000;true;672,44;397896;232766;57411;73565;
5;1000;1500;true;671,80;579324;376741;59805;84179;
6;5000;1500;true;287,75;2779171;1978961;231451;298950;
7;10000;500;true;138,77;6447159;4789484;519378;426431;
8;0;7500;false;573,95;11792;2787;1147;615;
9;10;5000;false;542,54;14885;4507;846;1088;
10;50;5000;false;565,58;26779;13375;968;2583;
11;100;2000;false;605,31;46685;27874;1966;5335;
12;500;2000;false;605,44;283303;205998;14032;28323;
13;1000;1500;false;608,02;589604;460188;16062;55818;
14;5000;1500;false;155,94;5842637;5196213;105527;286872;
15;10000;500;false;56,79;17025204;15409839;367013;681324;
