0;0;7500;true;369,89;568287;312003;82744;146179;
1;10;5000;true;361,86;600518;327035;88262;160754;
2;50;5000;true;359,64;585660;345124;74885;131069;
3;100;2000;true;356,55;672025;401696;81988;147154;
4;500;2000;true;313,05;1999679;781986;140046;267697;
5;1000;1500;true;296,75;2180486;1084243;151800;332510;
6;5000;1500;true;172,69;5224345;3665290;412710;535026;
7;10000;500;true;97,02;9759523;7257235;756093;690037;
8;0;7500;false;400,74;35582;14043;5476;3022;
9;10;5000;false;403,11;48282;23059;3746;4275;
10;50;5000;false;402,88;100326;58899;4817;12693;
11;100;2000;false;398,91;164768;101850;6829;23687;
12;500;2000;false;425,42;1358455;399827;30269;141985;
13;1000;1500;false;428,25;1508885;906608;31765;254811;
14;5000;1500;false;127,54;7490304;6750976;115922;304829;
15;10000;500;false;51,59;19126455;17545566;344280;678702;
