0;0;7500;true;2107,26;104512;49558;14001;28454;
1;10;5000;true;2133,30;111430;51506;13827;33008;
2;50;5000;true;2129,52;134646;63556;16146;37525;
3;100;2000;true;2041,26;172445;80380;23443;42350;
4;500;2000;true;1496,34;364794;223577;40361;53529;
5;1000;1500;true;901,57;627112;417417;64955;68374;
6;5000;1500;true;196,55;4361095;3436794;233129;281932;
7;10000;500;true;75,48;12479555;9932452;667639;845464;
8;0;7500;false;2474,89;13202;2701;1170;596;
9;10;5000;false;2469,28;16491;4234;786;1183;
10;50;5000;false;2435,33;29673;13445;1144;3122;
11;100;2000;false;2314,14;59204;30103;2183;6709;
12;500;2000;false;1483,81;381694;272739;24598;38103;
13;1000;1500;false;790,23;775732;612213;22275;68178;
14;5000;1500;false;93,77;9940381;8915658;174403;469371;
15;10000;500;false;30,82;31749576;28339815;656449;1778145;
