0;0;7500;true;2418,57;156765;66617;27872;53054;
1;10;5000;true;2418,74;162683;68278;27318;56421;
2;50;5000;true;2350,68;183348;86209;29887;53552;
3;100;2000;true;2255,54;216195;102518;34259;60079;
4;500;2000;true;1487,38;466787;267110;76776;81367;
5;1000;1500;true;809,17;791957;490584;122982;101482;
6;5000;1500;true;222,34;3948347;2764990;554256;272576;
7;10000;500;true;109,00;8376900;6093193;1064279;515913;
8;0;7500;false;2896,89;10344;1954;909;448;
9;10;5000;false;2944,39;12958;3293;540;982;
10;50;5000;false;2834,52;23256;10054;780;2695;
11;100;2000;false;2846,77;43963;22497;1319;5344;
12;500;2000;false;2169,12;260789;187967;12302;26987;
13;1000;1500;false;1114,27;574182;451641;12435;56738;
14;5000;1500;false;150,71;6174166;5516728;95514;305351;
15;10000;500;false;52,89;18114394;16308454;331246;912567;
