0;0;7500;true;176,46;462938;253030;62994;110179;
1;10;5000;true;183,41;468766;257607;59303;114533;
2;50;5000;true;180,08;532513;300208;62107;128883;
3;100;2000;true;176,86;611905;350865;70574;140704;
4;500;2000;true;170,87;1224690;716946;127678;254932;
5;1000;1500;true;161,58;2057845;1234569;239121;362103;
6;5000;1500;true;110,04;8075420;6731791;366666;564340;
7;10000;500;true;64,57;14511009;11767157;817440;1064478;
8;0;7500;false;180,74;85770;23894;9740;4899;
9;10;5000;false;181,02;96911;30701;4848;7308;
10;50;5000;false;181,51;151135;82106;5516;15784;
11;100;2000;false;181,00;210238;131196;6270;21890;
12;500;2000;false;175,82;1071768;751875;57890;136184;
13;1000;1500;false;166,69;2256492;1663939;106119;282303;
14;5000;1500;false;82,45;11216946;10114734;204885;555459;
15;10000;500;false;36,79;26255701;23541612;627782;1356028;
