0;0;7500;true;552,92;488880;264260;61830;110271;
1;10;5000;true;660,93;360082;187406;42233;91021;
2;50;5000;true;673,51;446771;224885;42910;136055;
3;100;2000;true;634,72;542026;271189;53416;143564;
4;500;2000;true;331,80;1721741;1100679;165653;275280;
5;1000;1500;true;247,59;2837592;2043746;140428;436463;
6;5000;1500;true;31,75;30340806;24306986;1215514;3015851;
7;10000;500;true;11,71;85244014;71177316;3922179;6190318;
8;0;7500;false;719,21;44662;12011;6342;2161;
9;10;5000;false;673,53;75909;28161;4560;7830;
10;50;5000;false;743,87;114189;48491;3985;23107;
11;100;2000;false;766,55;179928;95698;6246;36394;
12;500;2000;false;396,46;1367448;953286;68170;198292;
13;1000;1500;false;252,70;2705809;2041620;60520;382264;
14;5000;1500;false;35,39;27149467;21180183;991029;3204005;
15;10000;500;false;11,74;84667939;69564954;3587751;7603717;
